NAMESPACE                                          NAME                                                     READY   STATUS             RESTARTS   AGE     IP               NODE           NOMINATED NODE   READINESS GATES
openshift-marketplace                              redhat-operators-g9jbb                                   0/1     Running            311        2d18h   172.30.42.250    10.242.128.6   <none>           <none>
openshift-monitoring                               alertmanager-main-0                                      5/5     Running            0          2d20h   172.30.42.209    10.242.128.6   <none>           <none>
openshift-monitoring                               alertmanager-main-1                                      5/5     Running            0          2d20h   172.30.63.134    10.242.0.5     <none>           <none>
openshift-monitoring                               alertmanager-main-2                                      5/5     Running            0          2d20h   172.30.184.156   10.242.64.4    <none>           <none>
openshift-monitoring                               cluster-monitoring-operator-7665986659-sxjhf             2/2     Running            2          3d      172.30.184.135   10.242.64.4    <none>           <none>
openshift-monitoring                               grafana-667bc755-pgfcb                                   2/2     Running            0          2d20h   172.30.63.135    10.242.0.5     <none>           <none>
openshift-monitoring                               kube-state-metrics-5d7675978b-2jf8r                      3/3     Running            0          2d21h   172.30.184.145   10.242.64.4    <none>           <none>
openshift-monitoring                               node-exporter-87jt4                                      2/2     Running            0          2d21h   10.242.0.4       10.242.0.4     <none>           <none>
openshift-monitoring                               node-exporter-c88f4                                      2/2     Running            0          2d21h   10.242.128.7     10.242.128.7   <none>           <none>
openshift-monitoring                               node-exporter-htw72                                      2/2     Running            0          2d21h   10.242.64.4      10.242.64.4    <none>           <none>
openshift-monitoring                               node-exporter-qbtgw                                      2/2     Running            0          2d21h   10.242.0.5       10.242.0.5     <none>           <none>
openshift-monitoring                               node-exporter-sc45c                                      2/2     Running            0          2d21h   10.242.64.5      10.242.64.5    <none>           <none>
openshift-monitoring                               node-exporter-txt6j                                      2/2     Running            0          2d21h   10.242.128.6     10.242.128.6   <none>           <none>
openshift-monitoring                               openshift-state-metrics-5cbcdb86b4-pkxkq                 3/3     Running            0          2d21h   172.30.184.146   10.242.64.4    <none>           <none>
openshift-monitoring                               prometheus-adapter-6d5457f664-2nx8h                      1/1     Running            0          2d20h   172.30.42.200    10.242.128.6   <none>           <none>
openshift-monitoring                               prometheus-adapter-6d5457f664-msqx7                      1/1     Running            0          2d20h   172.30.63.131    10.242.0.5     <none>           <none>
openshift-monitoring                               prometheus-k8s-0                                         6/6     Running            1          2d20h   172.30.63.136    10.242.0.5     <none>           <none>
